timestamp,ax,ay,az,gx,gy,gz,label
11:59:36.136,1.53,-2.081,9.695,-0.052,-0.025,1.494,fall
11:59:36.181,1.494,-2.078,9.776,-0.018,-0.038,1.439,fall
11:59:36.226,1.516,-1.949,9.731,-0.008,-0.033,1.489,fall
11:59:36.231,1.477,-2.002,9.723,-0.01,-0.031,1.554,fall
11:59:36.273,1.599,-2.109,9.673,0.008,-0.005,1.401,fall
11:59:36.318,1.269,-1.93,9.663,-0.003,-0.008,1.348,fall
11:59:36.361,1.355,-2.042,9.778,-0.028,-0.032,1.489,fall
11:59:36.408,1.496,-2.03,9.731,-0.011,-0.027,1.554,fall
11:59:36.453,1.506,-1.949,9.663,-0.019,-0.025,1.513,fall
11:59:36.497,1.578,-2.021,9.685,-0.04,-0.02,1.518,fall
11:59:36.543,1.535,-2.15,9.747,-0.007,0.009,1.463,fall
11:59:36.587,1.408,-1.987,9.738,-0.011,0.025,1.401,fall
11:59:36.592,1.408,-2.119,9.735,-0.016,0.032,1.429,fall
11:59:36.634,1.417,-2.141,9.683,0.01,0.044,1.441,fall
11:59:36.683,1.429,-2.09,9.822,0.001,0.056,1.465,fall
11:59:36.723,1.439,-2.229,9.731,0.035,0.066,1.437,fall
11:59:36.768,1.398,-2.117,9.743,0.065,0.066,1.437,fall
11:59:36.811,1.449,-2.071,9.776,0.091,0.071,1.446,fall
11:59:36.856,1.365,-1.875,9.783,0.119,0.066,1.379,fall
11:59:36.903,1.437,-2.148,9.766,0.162,0.048,1.449,fall
11:59:36.948,1.597,-2.409,9.822,0.321,0.014,1.693,fall
11:59:36.953,1.633,-2.765,9.649,0.631,0.024,1.662,fall
11:59:36.995,1.793,-1.628,9.788,0.862,0.022,1.774,fall
11:59:37.038,1.657,-0.795,9.637,0.978,0.048,1.559,fall
11:59:37.085,1.441,0.314,9.709,0.945,0.053,1.41,fall
11:59:37.129,1.379,0.927,9.8,0.807,0.053,1.082,fall
11:59:37.172,0.773,0.924,9.704,0.627,0.085,0.852,fall
11:59:37.308,0.79,0.797,9.644,0.525,0.115,0.539,fall
11:59:37.313,0.424,0.694,10.185,0.421,0.19,0.239,fall
11:59:37.318,0.175,0.682,9.999,0.241,0.247,-0.06,fall
11:59:37.323,-0.464,0.481,10.674,0.121,0.301,-0.57,fall
11:59:37.355,-0.637,0.503,10.88,-0.039,0.21,-0.663,fall
11:59:37.396,-0.634,-0.086,10.308,-0.088,0.11,-0.711,fall
11:59:37.446,-0.68,-0.148,10.102,0.033,0.01,-0.57,fall
11:59:37.490,-0.443,0.239,9.972,0.135,-0.051,-0.359,fall
11:59:37.532,-0.393,0.752,10.042,0.172,-0.051,-0.369,fall
11:59:37.578,-0.266,1.03,9.951,0.176,-0.045,-0.388,fall
11:59:37.623,-0.524,0.994,9.896,0.181,-0.042,-0.589,fall
11:59:37.668,-0.469,1.097,9.833,0.219,-0.113,-0.381,fall
11:59:37.673,-0.263,1.216,9.896,0.208,-0.134,-0.34,fall
11:59:37.715,-0.457,1.233,9.716,0.192,-0.146,-0.4,fall
11:59:37.763,-0.326,1.463,9.869,0.149,-0.169,-0.388,fall
11:59:37.803,-0.342,1.47,9.941,0.028,-0.192,-0.235,fall
11:59:37.850,-0.077,1.36,10.071,-0.071,-0.193,-0.041,fall
11:59:37.892,0.12,1.372,9.939,-0.093,-0.185,0.318,fall
11:59:37.938,0.412,1.494,9.992,-0.042,-0.188,0.515,fall
11:59:37.983,0.682,1.683,9.915,-0.046,-0.232,0.91,fall
11:59:38.025,1.338,2.272,10.291,-0.064,-0.301,1.808,fall
11:59:38.028,2.1,2.217,10.861,-0.109,-0.258,2.121,fall
11:59:38.071,2.073,2.133,9.96,-0.123,-0.192,2.002,fall
11:59:38.116,2.119,2.148,9.86,-0.195,-0.255,2.301,fall
11:59:38.162,2.595,1.542,9.381,-0.176,-0.266,2.777,fall
11:59:38.252,2.73,1.674,9.35,0.005,-0.09,2.308,fall
11:59:38.256,2.057,2.078,9.587,0.089,0.013,1.884,fall
11:59:38.296,1.779,2.562,10.011,0.034,0.009,1.745,fall
11:59:38.342,1.616,2.478,10.078,-0.116,-0.023,1.53,fall
11:59:38.388,1.623,2.047,9.64,-0.223,-0.061,1.69,fall
11:59:38.395,1.796,1.528,9.558,-0.253,-0.042,1.743,fall
11:59:38.434,1.662,1.348,9.592,-0.162,-0.005,1.602,fall
11:59:38.480,1.729,1.298,9.716,-0.055,-0.041,2.004,fall
11:59:38.525,1.975,1.346,9.762,0.073,0.023,1.638,fall
11:59:38.570,1.717,1.722,9.553,0.179,-0.005,1.781,fall
11:59:38.613,1.923,1.925,9.91,0.178,0.001,1.748,fall
11:59:38.658,1.726,2.325,9.884,0.117,0.006,1.736,fall
11:59:38.703,1.602,1.82,9.817,0.1,0.042,1.329,fall
11:59:38.750,1.065,1.808,9.771,0.126,0.048,0.919,fall
11:59:38.758,0.939,2.088,9.992,0.128,-0.025,1.032,fall
11:59:38.793,1.233,2.152,9.817,0.018,-0.014,1.133,fall
11:59:38.839,1.068,2.332,9.922,-0.109,0.021,0.974,fall
11:59:38.884,1.044,2.085,10.056,-0.26,0.04,1.006,fall
11:59:38.931,0.84,1.736,9.901,-0.346,0.08,0.685,fall
11:59:38.973,0.599,1.575,9.956,-0.318,0.039,0.685,fall
11:59:39.018,0.728,1.542,9.771,-0.315,0.009,0.637,fall
11:59:39.062,0.687,1.276,10.056,-0.28,-0.009,0.685,fall
11:59:39.107,0.649,0.687,9.836,-0.206,-0.032,0.656,fall
11:59:39.112,0.62,0.63,9.901,-0.067,-0.02,0.752,fall
11:59:39.154,0.73,1.054,10.025,-0.101,0.013,0.67,fall
11:59:39.199,0.534,0.694,9.537,-0.126,0.016,0.364,fall
11:59:39.244,0.101,0.397,9.249,-0.192,-0.011,0.072,fall
11:59:39.290,0.263,-0.113,8.737,-0.175,0.02,0.093,fall
11:59:39.333,-0.316,-0.017,7.296,-0.188,0.05,-0.187,fall
11:59:39.377,0.156,-0.261,5.833,-0.109,0.02,0.23,fall
11:59:39.423,0.093,0.383,4.262,-0.21,0.1,-0.201,fall
11:59:39.468,0.017,-0.646,3.922,-0.357,-0.033,0.484,fall
11:59:39.473,0.625,-1.271,4.255,-0.316,-0.063,0.338,fall
11:59:39.514,0.05,-2.639,4.607,-0.243,0.051,-0.146,fall
11:59:39.559,-0.302,-3.141,6.958,-0.094,0.154,-0.9,fall
11:59:39.603,-1.875,-3.584,6.596,0.265,0.048,-1.583,fall
11:59:39.648,0.663,-1.52,8.943,0.628,-0.711,3.079,fall
11:59:39.691,4.473,-3.28,8.825,-0.083,-0.773,5.294,fall
11:59:39.736,6.314,-9.359,7.932,0.212,-0.715,7.6,fall
11:59:39.783,8.292,-13.281,7.315,1.146,-0.233,8.294,fall
11:59:39.873,8.998,-11.32,6.446,2.074,0.059,10.267,fall
11:59:39.879,10.942,-11.955,-1.571,2.99,0.559,8.6,fall
11:59:39.886,6.197,-2.821,-0.105,3.447,1.77,-3.405,fall
11:59:39.917,-27.346,11.68,1.549,5.407,5.36,-35.671,fall
11:59:39.963,-5.567,23.776,14.541,1.697,-2.156,7.638,fall
11:59:40.009,8.974,6.287,12.362,-0.703,4.092,-22.897,fall
11:59:40.052,-31.866,-0.239,-24.322,7.331,0.321,-6.374,fall
11:59:40.098,1.856,21.298,-14.467,7.589,-3.25,0.941,fall
11:59:40.144,1.303,18.743,-9.13,4.809,-0.967,2.085,fall
11:59:40.233,3.912,15.245,-10.992,4.281,0.841,-4.228,fall
11:59:40.239,-9.977,39.227,-22.612,5.5,0.571,-2.634,fall
11:59:40.244,0.134,-7.252,4.509,-0.994,0.817,-3.879,fall
