timestamp,ax,ay,az,gx,gy,gz,label
17:04:52.379,-0.259,1.834,9.805,0.017,0.026,-0.259,static
17:04:52.379,-0.259,1.834,9.805,0.017,0.026,-0.259,static
17:04:52.434,-0.256,1.920,9.862,0.025,0.031,-0.220,static
17:04:52.437,-0.220,1.959,9.833,0.041,0.031,-0.189,static
17:04:52.439,-0.220,1.959,9.833,0.041,0.031,-0.189,static
17:04:52.442,-0.211,2.117,9.800,0.030,0.031,-0.211,static
17:04:52.445,-0.182,2.150,9.857,0.012,0.031,-0.182,static
17:04:52.479,-0.141,2.090,9.786,-0.006,0.037,-0.141,static
17:04:52.483,-0.204,2.038,9.781,-0.012,0.030,-0.204,static
17:04:52.526,-0.184,2.050,9.733,-0.025,0.028,-0.184,static
17:04:52.530,-0.172,2.052,9.788,-0.045,0.026,-0.172,static
17:04:52.574,-0.204,1.877,9.826,-0.061,0.036,-0.204,static
17:04:52.577,-0.419,1.607,9.905,-0.042,0.019,-0.419,static
17:04:52.618,-0.295,1.504,9.884,0.007,-0.006,-0.295,static
17:04:52.621,-0.304,1.561,9.968,0.042,-0.014,-0.304,static
17:04:52.662,-0.273,1.501,10.015,0.072,-0.020,-0.273,static
17:04:52.665,-0.223,1.494,9.960,0.113,-0.020,-0.223,static
17:04:52.669,-0.244,1.473,9.932,0.142,-0.017,-0.244,static
17:04:52.707,-0.192,1.578,9.953,0.174,-0.031,-0.192,static
17:04:52.712,-0.129,1.504,9.869,0.202,-0.029,-0.129,static
17:04:52.759,-0.069,1.484,9.800,0.248,-0.014,0.000,static
17:04:52.759,-0.069,1.484,9.800,0.248,-0.014,0.000,static
17:04:52.799,-0.146,0.603,10.001,0.510,0.002,-0.146,static
17:04:52.799,-0.146,0.603,10.001,0.510,0.002,-0.146,static
17:04:52.843,-0.189,0.749,9.999,0.727,-0.009,-0.220,static
17:04:52.843,-0.189,0.749,9.999,0.727,-0.009,-0.220,static
17:04:52.847,-0.184,1.870,9.668,0.911,-0.045,-0.184,static
17:04:52.889,-0.101,2.203,9.539,0.950,-0.062,-0.101,static
17:04:52.892,-0.101,2.203,9.539,0.950,-0.062,-0.101,static
17:04:52.931,0.017,3.084,9.326,0.937,-0.032,0.017,static
17:04:52.934,-0.029,3.620,9.221,0.879,-0.027,-0.029,static
17:04:52.978,0.034,4.183,9.015,0.767,-0.024,0.034,static
17:04:52.982,0.146,4.930,9.060,0.584,-0.019,0.146,static
17:04:52.986,0.419,5.449,8.979,0.338,0.022,0.419,static
17:04:53.025,0.488,5.706,8.991,0.072,0.091,0.491,static
17:04:53.026,0.488,5.706,8.991,0.072,0.091,0.491,static
17:04:53.071,0.278,5.675,8.727,-0.405,0.210,0.278,static
17:04:53.070,0.278,5.675,8.727,-0.405,0.210,0.278,static
17:04:53.113,0.072,5.169,8.782,-0.529,0.214,0.036,static
17:04:53.115,0.072,5.169,8.782,-0.529,0.214,0.036,static
17:04:53.157,-0.074,4.626,8.928,-0.576,0.175,-0.204,static
17:04:53.157,-0.074,4.626,8.928,-0.576,0.175,-0.204,static
17:04:53.204,-0.103,4.588,9.101,-0.625,0.110,-0.079,static
17:04:53.204,-0.103,4.588,9.101,-0.625,0.110,-0.079,static
17:04:53.248,-0.172,4.123,9.247,-0.710,0.074,-0.129,static
17:04:53.249,-0.172,4.123,9.247,-0.710,0.074,-0.129,static
17:04:53.253,-0.117,3.599,9.235,-0.821,0.050,-0.117,static
17:04:53.295,-0.127,3.108,9.364,-0.865,0.043,-0.127,static
17:04:53.298,-0.127,3.108,9.364,-0.865,0.043,-0.127,static
17:04:53.304,-0.084,2.524,9.529,-0.968,0.036,-0.084,static
17:04:53.338,-0.055,2.035,9.537,-1.054,0.056,-0.055,static
17:04:53.340,-0.055,2.035,9.537,-1.054,0.056,-0.055,static
17:04:53.428,-0.115,0.749,9.798,-1.080,0.083,-0.237,static
17:04:53.428,-0.115,0.749,9.798,-1.080,0.083,-0.237,static
17:04:53.430,-0.381,-0.536,10.176,-0.943,0.111,-0.381,static
17:04:53.434,-0.464,-1.192,10.327,-0.774,0.096,-0.464,static
17:04:53.471,-0.532,-1.736,10.425,-0.537,0.083,-0.532,static
17:04:53.475,-0.565,-1.856,10.583,-0.267,0.070,-0.565,static
17:04:53.528,-0.596,-1.463,10.621,-0.063,0.049,-0.587,static
17:04:53.528,-0.596,-1.463,10.621,-0.063,0.049,-0.587,static
17:04:53.563,-0.615,-1.896,10.389,0.305,0.008,-0.596,static
17:04:53.563,-0.615,-1.896,10.389,0.305,0.008,-0.596,static
17:04:53.613,-0.419,-0.816,10.030,0.684,-0.029,-0.419,static
17:04:53.619,-0.419,-0.816,10.030,0.684,-0.029,-0.419,static
17:04:53.624,-0.407,-0.769,10.003,0.842,-0.037,-0.453,static
17:04:53.651,-0.469,0.510,9.814,1.071,-0.075,-0.587,static
17:04:53.694,-0.508,0.800,9.640,1.308,-0.181,-0.508,static
17:04:53.743,-0.472,1.599,9.455,1.431,-0.218,-0.472,static
