timestamp,ax,ay,az,gx,gy,gz,label
16:52:09.223,2.016,-9.003,3.884,-0.012,0.062,1.966,static
16:52:09.264,1.983,-8.828,4.018,0.025,0.061,1.999,static
16:52:09.311,1.942,-8.708,4.054,0.008,0.063,1.911,static
16:52:09.355,1.971,-8.715,4.056,0.006,0.050,2.016,static
16:52:09.363,1.903,-8.701,3.910,-0.019,0.061,1.882,static
16:52:09.401,1.882,-8.861,4.003,-0.013,0.044,1.942,static
16:52:09.446,1.942,-8.734,4.111,-0.002,0.039,1.947,static
16:52:09.492,1.927,-8.792,4.099,-0.001,0.035,1.939,static
16:52:09.537,2.062,-8.694,4.025,-0.014,0.030,2.006,static
16:52:09.581,2.026,-8.837,4.018,-0.020,0.031,2.021,static
16:52:09.627,1.963,-8.727,3.982,-0.005,0.034,1.961,static
16:52:09.673,1.954,-8.761,4.063,-0.030,0.032,1.978,static
16:52:09.713,1.932,-8.778,4.022,-0.025,0.026,1.944,static
16:52:09.760,2.052,-8.780,3.967,-0.005,0.019,2.059,static
16:52:09.805,1.973,-8.696,3.996,-0.039,0.024,2.011,static
16:52:09.851,2.081,-8.881,3.965,-0.041,0.016,2.064,static
16:52:09.899,2.033,-8.878,3.994,-0.031,0.027,2.021,static
16:52:09.941,2.078,-8.763,3.943,-0.017,0.014,2.138,static
16:52:09.986,2.112,-8.816,3.920,-0.044,0.026,2.112,static
16:52:09.992,2.119,-8.859,3.912,-0.026,0.047,2.038,static
16:52:10.029,2.088,-8.878,3.915,-0.035,0.039,2.141,static
16:52:10.077,2.141,-8.916,4.006,-0.021,0.048,2.088,static
16:52:10.128,2.073,-8.895,3.917,-0.005,0.057,2.129,static
16:52:10.167,2.162,-8.885,3.943,-0.007,0.071,2.088,static
16:52:10.214,2.014,-8.883,3.893,0.010,0.071,2.021,static
16:52:10.258,2.062,-8.751,3.898,0.006,0.060,2.047,static
16:52:10.304,2.066,-8.816,3.824,-0.007,0.060,2.026,static
16:52:10.346,2.028,-8.778,3.970,-0.008,0.048,2.066,static
16:52:10.390,2.102,-8.854,3.941,-0.013,0.045,2.093,static
16:52:10.435,2.143,-8.751,3.960,0.013,0.048,2.088,static
16:52:10.480,2.059,-8.773,4.032,-0.018,0.052,2.076,static
16:52:10.526,2.138,-8.890,4.013,-0.013,0.048,2.097,static
16:52:10.570,2.081,-8.893,3.893,0.009,0.062,2.028,static
16:52:10.615,2.105,-8.758,3.943,0.016,0.046,2.141,static
16:52:10.621,2.083,-8.758,3.963,0.009,0.051,2.097,static
16:52:10.663,2.042,-8.701,4.015,-0.006,0.058,2.054,static
16:52:10.708,2.026,-8.749,4.015,-0.010,0.053,1.975,static
16:52:10.754,2.069,-8.778,4.010,-0.013,0.045,2.107,static
16:52:10.796,2.040,-8.785,4.001,-0.016,0.035,2.112,static
16:52:10.843,2.145,-8.814,3.982,-0.009,0.036,2.143,static
16:52:10.888,2.145,-8.727,3.908,-0.018,0.044,2.133,static
16:52:10.934,2.119,-8.823,4.006,-0.016,0.051,2.136,static
16:52:10.974,2.042,-8.825,3.982,-0.010,0.054,2.076,static
16:52:11.064,2.016,-8.775,3.982,-0.022,0.047,2.062,static
16:52:11.069,2.141,-8.897,4.003,-0.003,0.042,2.131,static
16:52:11.154,2.212,-8.821,3.965,0.010,0.042,2.174,static
16:52:11.158,2.081,-8.778,4.068,0.001,0.064,2.014,static
16:52:11.201,2.066,-8.919,4.022,-0.004,0.045,2.105,static
16:52:11.245,2.062,-8.936,3.967,0.025,0.057,1.994,static
16:52:11.249,2.069,-8.744,3.967,0.028,0.032,2.133,static
16:52:11.291,2.152,-8.732,4.061,0.021,0.039,2.172,static
16:52:11.338,2.133,-8.699,3.987,0.009,0.053,2.107,static
16:52:11.384,2.090,-8.734,4.058,-0.007,0.055,2.133,static
16:52:11.427,2.150,-8.718,4.037,-0.027,0.067,2.167,static
16:52:11.472,2.141,-8.809,3.979,-0.022,0.074,2.164,static
16:52:11.519,2.184,-8.888,3.939,-0.015,0.076,2.157,static
16:52:11.562,2.174,-8.833,4.075,0.013,0.086,2.150,static
16:52:11.606,2.157,-8.842,4.025,0.011,0.072,2.186,static
16:52:11.656,2.133,-8.703,4.030,0.018,0.078,2.174,static
16:52:11.694,2.167,-8.778,4.032,0.017,0.068,2.157,static
16:52:11.739,2.155,-8.746,4.121,0.038,0.067,2.131,static
16:52:11.783,2.215,-8.723,4.082,0.041,0.065,2.203,static
16:52:11.874,2.215,-8.703,4.125,0.042,0.064,2.217,static
16:52:11.879,2.172,-8.612,4.147,0.039,0.072,2.169,static
16:52:11.883,2.181,-8.660,4.188,0.014,0.063,2.138,static
16:52:11.919,2.124,-8.509,4.106,0.002,0.060,2.033,static
16:52:11.963,2.071,-8.478,4.066,-0.025,0.028,2.176,static
16:52:12.015,2.220,-8.627,4.066,-0.040,0.029,2.294,static
16:52:12.056,2.330,-8.823,4.188,-0.021,0.047,2.196,static
16:52:12.145,2.196,-8.825,4.204,-0.016,0.057,2.227,static
16:52:12.191,2.184,-8.811,4.159,0.012,0.059,2.164,static
16:52:12.194,2.112,-8.782,4.128,0.023,0.063,2.093,static
16:52:12.233,2.097,-8.706,4.137,0.038,0.040,2.162,static
16:52:12.278,2.114,-8.555,4.224,0.027,0.036,2.097,static
16:52:12.323,2.138,-8.679,4.154,0.009,0.032,2.107,static
16:52:12.366,2.107,-8.574,4.145,-0.001,0.020,2.236,static
16:52:12.416,2.205,-8.684,4.137,-0.001,0.029,2.260,static
16:52:12.460,2.208,-8.725,4.161,0.005,0.034,2.205,static
16:52:12.502,2.243,-8.773,4.200,0.009,0.032,2.258,static
16:52:12.504,2.227,-8.758,4.142,0.021,0.044,2.322,static
16:52:12.547,2.277,-8.708,4.233,0.034,0.068,2.227,static
16:52:12.595,2.167,-8.802,4.214,0.025,0.058,2.212,static
16:52:12.640,2.234,-8.864,4.161,0.046,0.056,2.200,static
16:52:12.686,2.227,-8.825,4.288,0.065,0.058,2.251,static
16:52:12.730,2.251,-8.761,4.279,0.087,0.073,2.318,static
16:52:12.778,2.325,-8.792,4.303,0.105,0.093,2.272,static
16:52:12.819,2.217,-8.641,4.379,0.124,0.112,2.258,static
16:52:12.862,2.291,-8.749,4.465,0.138,0.121,2.318,static
16:52:12.906,2.255,-8.569,4.509,0.149,0.144,2.217,static
16:52:12.952,2.160,-8.612,4.566,0.140,0.151,2.131,static
16:52:12.995,2.093,-8.502,4.552,0.176,0.144,2.172,static
16:52:13.042,2.229,-8.440,4.564,0.169,0.133,2.303,static
16:52:13.088,2.385,-8.596,4.659,0.180,0.149,2.478,static
16:52:13.133,2.466,-8.596,4.875,0.217,0.186,2.442,static
16:52:13.136,2.457,-9.029,5.030,0.253,0.222,2.416,static
16:52:13.180,2.306,-9.134,5.241,0.403,0.260,2.318,static
16:52:13.223,2.291,-8.732,5.232,0.504,0.279,2.246,static
16:52:13.266,2.224,-8.282,5.464,0.598,0.307,2.069,static
16:52:13.312,2.057,-7.722,5.584,0.612,0.300,2.069,static
16:52:13.403,1.915,-7.322,5.811,0.616,0.283,1.872,static
16:52:13.453,1.937,-6.829,5.993,0.573,0.232,1.923,static
16:52:13.460,1.901,-6.695,6.189,0.490,0.199,1.853,static
16:52:13.493,2.009,-6.398,6.424,0.405,0.123,2.220,static
16:52:13.540,2.188,-6.529,6.649,0.294,0.127,2.179,static
16:52:13.586,2.234,-6.510,6.812,0.236,0.112,2.370,static
16:52:13.627,2.277,-6.637,6.879,0.185,0.141,2.220,static
16:52:13.672,2.275,-6.419,6.905,0.130,0.125,2.246,static
16:52:13.722,2.167,-6.491,6.948,0.086,0.104,2.220,static
16:52:13.764,2.275,-6.510,6.917,0.058,0.084,2.299,static
16:52:13.768,2.289,-6.527,6.970,0.066,0.099,2.203,static
16:52:13.808,2.109,-6.481,6.970,0.017,0.100,2.114,static
16:52:13.858,2.145,-6.592,6.965,-0.035,0.070,2.145,static
16:52:13.903,2.114,-6.723,6.960,-0.028,0.048,2.162,static
16:52:13.949,2.224,-6.718,7.001,-0.024,0.035,2.222,static
16:52:14.042,2.212,-6.649,7.061,-0.045,0.031,2.270,static
16:52:14.049,2.287,-6.824,6.963,-0.057,0.013,2.361,static
16:52:14.168,2.382,-6.855,6.884,-0.019,0.017,2.394,static
16:52:14.171,2.330,-6.850,6.884,-0.006,0.025,2.325,static
16:52:14.175,2.406,-6.783,6.836,-0.005,0.022,2.404,static
16:52:14.211,2.330,-6.762,6.848,-0.006,0.046,2.224,static
16:52:14.257,2.232,-6.728,6.896,-0.021,0.033,2.162,static
